match_key,player,pos,age,minutes_played,goals,assists,xg,xag,is_starter
2025-10-26_lyon,Martin Satriano,FW,24-248,14,0,0,0.3,0.0,False
2025-10-26_lyon,Rachid Ghezzal,RW,33-170,14,0,0,0.1,0.0,False
2025-10-26_lyon,Mathys De Carvalho,CM,20-178,1,0,0,0.0,0.0,False
2025-10-29_lyon,Dominik Greif,GK,28-206,90,0,1,0.0,0.1,True
2025-10-29_lyon,Clinton Mata,CB,32-356,90,0,0,0.0,0.0,True
2025-10-29_lyon,Ainsley Maitland-Niles,RB,28-061,90,0,0,0.0,0.0,True
2025-10-29_lyon,Mathys De Carvalho,"DM,CM",20-181,90,0,0,0.0,0.0,True
2025-10-29_lyon,Tyler Morton,"DM,CM,RM",22-363,90,0,0,0.1,0.0,True
2025-10-29_lyon,Moussa Niakhate,CB,29-235,90,0,0,0.0,0.0,True
2025-10-29_lyon,Pavel Šulc,FW,24-304,84,2,0,1.1,0.0,True
2025-10-29_lyon,Afonso Moreira,"LW,LM",20-224,73,0,2,0.0,1.1,True
2025-10-29_lyon,Adam Karabec,RW,22-119,67,0,0,0.0,0.0,True
2025-10-29_lyon,Corentin Tolisso,AM,31-087,67,1,0,0.1,0.0,True
2025-10-29_lyon,Abner,LB,25-155,60,0,0,0.0,0.0,True
2025-10-29_lyon,Nicolás Tagliafico,LB,33-059,23,0,0,0.0,0.0,False
2025-10-29_lyon,Tanner Tessmann,CM,24-035,23,0,0,0.0,0.0,False
2025-10-29_lyon,Hans Hateboer,CB,31-293,17,0,0,0.0,0.0,False
2025-10-29_lyon,Martin Satriano,FW,24-251,6,0,0,0.0,0.0,False
2025-11-02_lyon,Afonso Moreira,LW,20-228,90,0,0,0.0,0.0,True
2025-11-02_lyon,Clinton Mata,CB,32-360,90,0,0,0.0,0.0,True
2025-11-02_lyon,Dominik Greif,GK,28-210,90,0,0,0.0,0.0,True
2025-11-02_lyon,Tyler Morton,DM,23-002,90,0,0,0.1,0.0,True
2025-11-02_lyon,Moussa Niakhate,CB,29-239,90,0,0,0.0,0.0,True
2025-11-02_lyon,Nicolás Tagliafico,LB,33-063,90,0,0,0.0,0.0,True
2025-11-02_lyon,Pavel Šulc,RW,24-308,90,0,0,0.1,0.0,True
2025-11-02_lyon,Corentin Tolisso,"DM,AM",31-091,83,0,0,0.0,0.0,True
2025-11-02_lyon,Ainsley Maitland-Niles,RB,28-065,76,0,0,0.0,0.0,True
2025-11-02_lyon,Martin Satriano,FW,24-255,75,0,0,0.0,0.1,True
2025-11-02_lyon,Rachid Ghezzal,FW,33-177,15,0,0,0.0,0.0,True
2025-11-02_lyon,Tanner Tessmann,DM,24-039,14,0,0,0.0,0.0,False
2025-11-02_lyon,Hans Hateboer,RB,31-297,7,0,0,0.0,0.0,False
2025-11-02_lyon,Mathys De Carvalho,DM,20-185,7,0,0,0.0,0.0,False
2025-11-09_lyon,Afonso Moreira,LW,20-235,90,1,0,0.3,0.0,True
2025-11-09_lyon,Clinton Mata,CB,33-002,90,0,0,0.0,0.0,True
2025-11-09_lyon,Ainsley Maitland-Niles,RW,28-072,90,1,0,0.1,0.0,True
2025-11-09_lyon,Moussa Niakhate,CB,29-246,90,0,1,0.0,0.1,True
2025-11-09_lyon,Dominik Greif,GK,28-217,90,0,0,0.0,0.0,True
2025-11-09_lyon,Tyler Morton,DM,23-009,90,0,1,0.0,0.1,True
2025-11-09_lyon,Ruben Kluivert,RB,24-172,90,0,0,0.0,0.0,True
2025-11-09_lyon,Tanner Tessmann,DM,24-046,90,0,0,0.0,0.3,True
2025-11-09_lyon,Nicolás Tagliafico,LB,33-070,89,0,0,0.2,0.0,True
2025-11-09_lyon,Khalis Merah,AM,18-258,77,0,0,0.0,0.0,True
2025-11-09_lyon,Rachid Ghezzal,FW,33-184,63,0,0,0.0,0.0,True
2025-11-09_lyon,Adam Karabec,FW,22-130,27,0,0,0.0,0.0,False
2025-11-09_lyon,Corentin Tolisso,AM,31-098,13,0,0,0.0,0.0,False
2025-11-23_lyon,Abner,LB,25-180,90,0,0,0.1,0.0,True
2025-11-23_lyon,Afonso Moreira,LW,20-249,90,0,0,0.1,0.7,True
2025-11-23_lyon,Ainsley Maitland-Niles,RB,28-086,90,0,0,0.0,0.0,True
2025-11-23_lyon,Martin Satriano,FW,24-276,90,0,0,0.3,0.0,True
2025-11-23_lyon,Dominik Greif,GK,28-231,90,0,0,0.0,0.0,True
2025-11-23_lyon,Corentin Tolisso,DM,31-112,90,0,0,0.6,0.1,True
2025-11-23_lyon,Tanner Tessmann,"DM,CB",24-060,90,0,0,0.2,0.0,True
2025-11-23_lyon,Moussa Niakhate,CB,29-260,90,0,0,0.1,0.0,True
2025-11-23_lyon,Adam Karabec,RW,22-144,84,0,0,0.0,0.3,True
2025-11-23_lyon,Clinton Mata,CB,33-016,62,0,0,0.0,0.0,True
2025-11-23_lyon,Pavel Šulc,AM,24-329,45,0,0,0.0,0.2,True
