match_key,combo,size
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Corentin Tolisso + Sael Kumbedi,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Corentin Tolisso + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Corentin Tolisso + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Georges Mikautadze + Malick Fofana,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Georges Mikautadze + Moussa Niakhate,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Georges Mikautadze + Rémy Descamps,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Georges Mikautadze + Sael Kumbedi,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Georges Mikautadze + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Georges Mikautadze + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Malick Fofana + Moussa Niakhate,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Malick Fofana + Rémy Descamps,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Malick Fofana + Sael Kumbedi,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Malick Fofana + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Malick Fofana + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Moussa Niakhate + Rémy Descamps,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Moussa Niakhate + Sael Kumbedi,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Moussa Niakhate + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Moussa Niakhate + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Rémy Descamps + Sael Kumbedi,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Rémy Descamps + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Rémy Descamps + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Sael Kumbedi + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Sael Kumbedi + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Tanner Tessmann + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Clinton Mata + Corentin Tolisso + Georges Mikautadze,3
2526_2025-08-16 Lens-Lyon,Clinton Mata + Corentin Tolisso + Malick Fofana,3
2526_2025-08-16 Lens-Lyon,Clinton Mata + Corentin Tolisso + Moussa Niakhate,3
2526_2025-08-16 Lens-Lyon,Clinton Mata + Corentin Tolisso + Rémy Descamps,3
2526_2025-08-16 Lens-Lyon,Clinton Mata + Corentin Tolisso + Sael Kumbedi,3
2526_2025-08-16 Lens-Lyon,Clinton Mata + Corentin Tolisso + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Clinton Mata + Corentin Tolisso + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Clinton Mata + Georges Mikautadze + Malick Fofana,3
2526_2025-08-16 Lens-Lyon,Clinton Mata + Georges Mikautadze + Moussa Niakhate,3
2526_2025-08-16 Lens-Lyon,Clinton Mata + Georges Mikautadze + Rémy Descamps,3
2526_2025-08-16 Lens-Lyon,Clinton Mata + Georges Mikautadze + Sael Kumbedi,3
