combo,size,matches_together
Corentin Tolisso + Dominik Greif + Nicolás Tagliafico + Tyler Morton,4,7
Ainsley Maitland-Niles + Clinton Mata + Malick Fofana + Moussa Niakhate + Tanner Tessmann,5,7
Adam Karabec + Clinton Mata + Dominik Greif,3,7
Ainsley Maitland-Niles + Clinton Mata + Malick Fofana + Tyler Morton,4,7
Clinton Mata + Malick Fofana + Tanner Tessmann,3,7
Clinton Mata + Malick Fofana + Tyler Morton,3,7
Malick Fofana + Moussa Niakhate,2,7
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Tanner Tessmann,4,7
Moussa Niakhate + Nicolás Tagliafico + Tyler Morton,3,7
Clinton Mata + Martin Satriano,2,7
Dominik Greif + Tanner Tessmann,2,7
Ainsley Maitland-Niles + Malick Fofana + Tanner Tessmann,3,7
Clinton Mata + Moussa Niakhate + Nicolás Tagliafico,3,7
Abner + Corentin Tolisso + Pavel Šulc + Tyler Morton,4,7
Corentin Tolisso + Malick Fofana + Moussa Niakhate,3,7
Corentin Tolisso + Malick Fofana + Moussa Niakhate + Tanner Tessmann,4,7
Clinton Mata + Dominik Greif + Pavel Šulc,3,7
Dominik Greif + Martin Satriano + Moussa Niakhate,3,7
Abner + Dominik Greif,2,7
Ainsley Maitland-Niles + Dominik Greif + Nicolás Tagliafico,3,7
Dominik Greif + Moussa Niakhate + Tanner Tessmann,3,7
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Tyler Morton,5,7
Adam Karabec + Corentin Tolisso + Moussa Niakhate + Tanner Tessmann,4,7
Malick Fofana + Moussa Niakhate + Tanner Tessmann,3,7
Ainsley Maitland-Niles + Malick Fofana + Tyler Morton,3,7
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Dominik Greif,4,7
Ainsley Maitland-Niles + Corentin Tolisso + Malick Fofana + Tyler Morton,4,7
Abner + Corentin Tolisso + Dominik Greif,3,7
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Tyler Morton,5,7
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Tanner Tessmann,5,7
Ainsley Maitland-Niles + Corentin Tolisso + Malick Fofana + Tanner Tessmann,4,7
Abner + Pavel Šulc,2,7
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Moussa Niakhate + Tanner Tessmann,5,7
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Tyler Morton,4,7
Abner + Clinton Mata + Moussa Niakhate + Tyler Morton,4,7
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Dominik Greif,4,7
Clinton Mata + Dominik Greif + Nicolás Tagliafico + Tyler Morton,4,7
Corentin Tolisso + Malick Fofana + Tanner Tessmann,3,7
Ainsley Maitland-Niles + Malick Fofana + Moussa Niakhate + Tanner Tessmann,4,7
Clinton Mata + Dominik Greif + Moussa Niakhate + Nicolás Tagliafico,4,7
Abner + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Tyler Morton,5,7
Corentin Tolisso + Malick Fofana + Tyler Morton,3,7
Clinton Mata + Khalis Merah,2,7
Moussa Niakhate + Pavel Šulc + Tyler Morton,3,7
Corentin Tolisso + Nicolás Tagliafico + Tyler Morton,3,7
Adam Karabec + Ainsley Maitland-Niles + Moussa Niakhate + Tanner Tessmann,4,7
Corentin Tolisso + Martin Satriano + Moussa Niakhate,3,7
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif,5,7
Corentin Tolisso + Moussa Niakhate + Nicolás Tagliafico,3,7
Adam Karabec + Clinton Mata + Corentin Tolisso + Tyler Morton,4,7
Abner + Ainsley Maitland-Niles + Corentin Tolisso + Tyler Morton,4,7
Ainsley Maitland-Niles + Clinton Mata + Nicolás Tagliafico,3,7
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Malick Fofana + Moussa Niakhate,5,7
Clinton Mata + Dominik Greif + Martin Satriano,3,7
Abner + Ainsley Maitland-Niles + Tyler Morton,3,7
Clinton Mata + Nicolás Tagliafico + Tyler Morton,3,7
Corentin Tolisso + Moussa Niakhate + Pavel Šulc,3,7
Corentin Tolisso + Moussa Niakhate + Pavel Šulc + Tyler Morton,4,7
Adam Karabec + Ainsley Maitland-Niles + Tanner Tessmann,3,7
Adam Karabec + Clinton Mata + Corentin Tolisso + Tanner Tessmann,4,7
Ainsley Maitland-Niles + Corentin Tolisso + Dominik Greif + Moussa Niakhate,4,7
Ainsley Maitland-Niles + Corentin Tolisso + Tanner Tessmann + Tyler Morton,4,7
Ainsley Maitland-Niles + Clinton Mata + Malick Fofana + Tanner Tessmann,4,7
Adam Karabec + Dominik Greif,2,7
Adam Karabec + Ainsley Maitland-Niles + Tyler Morton,3,7
Clinton Mata + Dominik Greif + Pavel Šulc + Tyler Morton,4,7
Clinton Mata + Malick Fofana + Moussa Niakhate,3,7
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Moussa Niakhate + Tanner Tessmann,5,7
Clinton Mata + Corentin Tolisso + Tanner Tessmann + Tyler Morton,4,7
Adam Karabec + Tanner Tessmann,2,7
Adam Karabec + Clinton Mata + Corentin Tolisso + Dominik Greif,4,7
Adam Karabec + Moussa Niakhate + Tanner Tessmann,3,7
Malick Fofana + Tanner Tessmann,2,7
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Tanner Tessmann,4,7
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Tyler Morton,4,7
Abner + Clinton Mata + Corentin Tolisso + Moussa Niakhate + Tyler Morton,5,7
Corentin Tolisso + Dominik Greif + Martin Satriano + Moussa Niakhate,4,7
Adam Karabec + Ainsley Maitland-Niles + Dominik Greif,3,7
Abner + Corentin Tolisso + Pavel Šulc,3,7
Ainsley Maitland-Niles + Corentin Tolisso + Malick Fofana + Moussa Niakhate + Tanner Tessmann,5,7
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Moussa Niakhate,5,7
Abner + Pavel Šulc + Tyler Morton,3,7
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Tanner Tessmann + Tyler Morton,5,7
Ainsley Maitland-Niles + Malick Fofana + Moussa Niakhate,3,7
Clinton Mata + Corentin Tolisso + Nicolás Tagliafico,3,7
Martin Satriano + Moussa Niakhate,2,7
Ainsley Maitland-Niles + Clinton Mata + Malick Fofana + Moussa Niakhate,4,7
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Malick Fofana + Tanner Tessmann,5,7
Corentin Tolisso + Dominik Greif + Moussa Niakhate + Nicolás Tagliafico,4,7
Ainsley Maitland-Niles + Corentin Tolisso + Moussa Niakhate + Tanner Tessmann + Tyler Morton,5,7
Clinton Mata + Corentin Tolisso + Moussa Niakhate + Tanner Tessmann + Tyler Morton,5,7
Malick Fofana + Tyler Morton,2,7
Ainsley Maitland-Niles + Corentin Tolisso + Malick Fofana + Moussa Niakhate,4,7
Adam Karabec + Corentin Tolisso + Tanner Tessmann,3,7
Dominik Greif + Moussa Niakhate + Nicolás Tagliafico + Tyler Morton,4,7
Adam Karabec + Clinton Mata + Moussa Niakhate + Tanner Tessmann,4,7
Clinton Mata + Malick Fofana + Moussa Niakhate + Tanner Tessmann,4,7
Moussa Niakhate + Pavel Šulc,2,7
Adam Karabec + Clinton Mata + Corentin Tolisso + Moussa Niakhate + Tyler Morton,5,6
Dominik Greif + Nicolás Tagliafico + Tanner Tessmann,3,6
Ainsley Maitland-Niles + Corentin Tolisso + Dominik Greif + Nicolás Tagliafico,4,6
Adam Karabec + Moussa Niakhate + Tyler Morton,3,6
Adam Karabec + Corentin Tolisso + Dominik Greif + Moussa Niakhate,4,6
Adam Karabec + Clinton Mata + Moussa Niakhate + Tyler Morton,4,6
Abner + Moussa Niakhate + Tanner Tessmann,3,6
Ainsley Maitland-Niles + Moussa Niakhate + Nicolás Tagliafico,3,6
Ainsley Maitland-Niles + Malick Fofana + Tanner Tessmann + Tyler Morton,4,6
Nicolás Tagliafico + Tanner Tessmann,2,6
Abner + Clinton Mata + Pavel Šulc,3,6
Ainsley Maitland-Niles + Malick Fofana + Moussa Niakhate + Tyler Morton,4,6
Abner + Clinton Mata + Pavel Šulc + Tyler Morton,4,6
Ainsley Maitland-Niles + Malick Fofana + Moussa Niakhate + Tanner Tessmann + Tyler Morton,5,6
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Pavel Šulc + Tyler Morton,5,6
Dominik Greif + Moussa Niakhate + Pavel Šulc + Tyler Morton,4,6
Dominik Greif + Moussa Niakhate + Pavel Šulc,3,6
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Pavel Šulc,4,6
Adam Karabec + Ainsley Maitland-Niles + Moussa Niakhate + Tyler Morton,4,6
Adam Karabec + Corentin Tolisso + Moussa Niakhate + Tyler Morton,4,6
Ainsley Maitland-Niles + Khalis Merah,2,6
Ainsley Maitland-Niles + Dominik Greif + Tanner Tessmann,3,6
Moussa Niakhate + Nicolás Tagliafico + Tanner Tessmann,3,6
Abner + Tanner Tessmann,2,6
Ainsley Maitland-Niles + Dominik Greif + Nicolás Tagliafico + Tyler Morton,4,6
Ainsley Maitland-Niles + Clinton Mata + Pavel Šulc + Tyler Morton,4,6
Martin Satriano + Tyler Morton,2,6
Dominik Greif + Martin Satriano + Tyler Morton,3,6
Ainsley Maitland-Niles + Dominik Greif + Moussa Niakhate + Tyler Morton,4,6
Ainsley Maitland-Niles + Dominik Greif + Moussa Niakhate + Tanner Tessmann,4,6
Abner + Dominik Greif + Pavel Šulc,3,6
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Nicolás Tagliafico,4,6
Afonso Moreira + Dominik Greif,2,6
Abner + Corentin Tolisso + Dominik Greif + Pavel Šulc,4,6
Adam Karabec + Corentin Tolisso + Malick Fofana,3,6
Abner + Corentin Tolisso + Dominik Greif + Pavel Šulc + Tyler Morton,5,6
Ainsley Maitland-Niles + Dominik Greif + Moussa Niakhate + Nicolás Tagliafico,4,6
Abner + Corentin Tolisso + Dominik Greif + Tyler Morton,4,6
Ainsley Maitland-Niles + Clinton Mata + Pavel Šulc,3,6
Ainsley Maitland-Niles + Clinton Mata + Nicolás Tagliafico + Tyler Morton,4,6
Ainsley Maitland-Niles + Corentin Tolisso + Pavel Šulc + Tyler Morton,4,6
Ainsley Maitland-Niles + Corentin Tolisso + Pavel Šulc,3,6
Adam Karabec + Clinton Mata + Corentin Tolisso + Dominik Greif + Moussa Niakhate,5,6
Ainsley Maitland-Niles + Corentin Tolisso + Nicolás Tagliafico,3,6
Malick Fofana + Tanner Tessmann + Tyler Morton,3,6
Abner + Dominik Greif + Pavel Šulc + Tyler Morton,4,6
Malick Fofana + Moussa Niakhate + Tyler Morton,3,6
Malick Fofana + Moussa Niakhate + Tanner Tessmann + Tyler Morton,4,6
Adam Karabec + Clinton Mata + Corentin Tolisso + Malick Fofana,4,6
Khalis Merah + Tyler Morton,2,6
Ainsley Maitland-Niles + Corentin Tolisso + Malick Fofana + Tanner Tessmann + Tyler Morton,5,6
Khalis Merah + Moussa Niakhate,2,6
Ainsley Maitland-Niles + Corentin Tolisso + Malick Fofana + Moussa Niakhate + Tyler Morton,5,6
Corentin Tolisso + Moussa Niakhate + Nicolás Tagliafico + Tyler Morton,4,6
Ainsley Maitland-Niles + Nicolás Tagliafico + Tyler Morton,3,6
Corentin Tolisso + Martin Satriano + Tyler Morton,3,6
Adam Karabec + Dominik Greif + Moussa Niakhate,3,6
Abner + Corentin Tolisso + Moussa Niakhate + Tanner Tessmann,4,6
Abner + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Moussa Niakhate,5,6
