combo,size,matches,avg_points,avg_score_final,combo_size
Ainsley Maitland-Niles + Khalis Merah + Nicolás Tagliafico,3,7,1.71,61.26,3
Corentin Tolisso + Khalis Merah + Nicolás Tagliafico,3,7,1.71,61.26,3
Khalis Merah + Nicolás Tagliafico + Tanner Tessmann,3,7,1.71,61.26,3
Afonso Moreira + Khalis Merah + Tyler Morton,3,7,1.71,61.13,3
Abner + Khalis Merah + Tyler Morton,3,7,1.71,60.66,3
Abner + Ainsley Maitland-Niles + Corentin Tolisso,3,10,1.7,62.48,3
Abner + Ainsley Maitland-Niles + Pavel Šulc,3,10,1.7,62.48,3
Afonso Moreira + Hans Hateboer + Tanner Tessmann,3,3,1.67,65.12,3
Ainsley Maitland-Niles + Hans Hateboer + Tanner Tessmann,3,3,1.67,65.12,3
Corentin Tolisso + Hans Hateboer + Tanner Tessmann,3,3,1.67,65.12,3
Dominik Greif + Hans Hateboer + Tanner Tessmann,3,3,1.67,65.12,3
Hans Hateboer + Martin Satriano + Tanner Tessmann,3,3,1.67,65.12,3
Hans Hateboer + Mathys De Carvalho + Tanner Tessmann,3,3,1.67,65.12,3
Hans Hateboer + Moussa Niakhate + Tanner Tessmann,3,3,1.67,65.12,3
Hans Hateboer + Nicolás Tagliafico + Tanner Tessmann,3,3,1.67,65.12,3
Hans Hateboer + Pavel Šulc + Tanner Tessmann,3,3,1.67,65.12,3
Hans Hateboer + Tanner Tessmann + Tyler Morton,3,3,1.67,65.12,3
Abner + Mathys De Carvalho + Tanner Tessmann,3,3,1.67,64.22,3
Ainsley Maitland-Niles + Clinton Mata + Hans Hateboer,3,3,1.67,63.92,3
Clinton Mata + Hans Hateboer + Nicolás Tagliafico,3,3,1.67,63.92,3
Abner + Dominik Greif + Tyler Morton,3,6,1.67,62.17,3
Abner + Martin Satriano + Tyler Morton,3,6,1.67,62.17,3
Afonso Moreira + Nicolás Tagliafico + Pavel Šulc,3,12,1.67,61.57,3
Ainsley Maitland-Niles + Nicolás Tagliafico + Pavel Šulc,3,12,1.67,61.57,3
Corentin Tolisso + Nicolás Tagliafico + Pavel Šulc,3,12,1.67,61.57,3
Afonso Moreira + Pavel Šulc + Tyler Morton,3,12,1.67,61.5,3
Afonso Moreira + Ainsley Maitland-Niles + Tyler Morton,3,12,1.67,61.45,3
Afonso Moreira + Nicolás Tagliafico + Tyler Morton,3,12,1.67,61.45,3
Ainsley Maitland-Niles + Nicolás Tagliafico + Tyler Morton,3,12,1.67,61.45,3
Corentin Tolisso + Nicolás Tagliafico + Tyler Morton,3,12,1.67,61.45,3
Abner + Tanner Tessmann + Tyler Morton,3,8,1.62,60.74,3
Afonso Moreira + Ainsley Maitland-Niles + Pavel Šulc,3,13,1.62,60.49,3
Afonso Moreira + Khalis Merah + Pavel Šulc,3,8,1.62,59.62,3
Afonso Moreira + Ainsley Maitland-Niles + Khalis Merah,3,8,1.62,59.54,3
Afonso Moreira + Khalis Merah + Tanner Tessmann,3,8,1.62,59.54,3
Abner + Adam Karabec + Khalis Merah,3,8,1.62,59.02,3
Abner + Corentin Tolisso + Khalis Merah,3,8,1.62,59.02,3
Abner + Khalis Merah + Pavel Šulc,3,8,1.62,59.02,3
Abner + Dominik Greif + Tanner Tessmann,3,5,1.6,62.55,3
Abner + Martin Satriano + Tanner Tessmann,3,5,1.6,62.55,3
Mathys De Carvalho + Tanner Tessmann + Tyler Morton,3,5,1.6,60.99,3
Afonso Moreira + Corentin Tolisso + Hans Hateboer,3,5,1.6,60.63,3
Afonso Moreira + Dominik Greif + Hans Hateboer,3,5,1.6,60.63,3
Afonso Moreira + Hans Hateboer + Martin Satriano,3,5,1.6,60.63,3
Afonso Moreira + Hans Hateboer + Mathys De Carvalho,3,5,1.6,60.63,3
Afonso Moreira + Hans Hateboer + Moussa Niakhate,3,5,1.6,60.63,3
Afonso Moreira + Hans Hateboer + Pavel Šulc,3,5,1.6,60.63,3
Afonso Moreira + Hans Hateboer + Tyler Morton,3,5,1.6,60.63,3
Corentin Tolisso + Dominik Greif + Hans Hateboer,3,5,1.6,60.63,3
Corentin Tolisso + Hans Hateboer + Martin Satriano,3,5,1.6,60.63,3
Corentin Tolisso + Hans Hateboer + Mathys De Carvalho,3,5,1.6,60.63,3
Corentin Tolisso + Hans Hateboer + Moussa Niakhate,3,5,1.6,60.63,3
Corentin Tolisso + Hans Hateboer + Pavel Šulc,3,5,1.6,60.63,3
Corentin Tolisso + Hans Hateboer + Tyler Morton,3,5,1.6,60.63,3
Dominik Greif + Hans Hateboer + Martin Satriano,3,5,1.6,60.63,3
Dominik Greif + Hans Hateboer + Mathys De Carvalho,3,5,1.6,60.63,3
Dominik Greif + Hans Hateboer + Moussa Niakhate,3,5,1.6,60.63,3
Dominik Greif + Hans Hateboer + Pavel Šulc,3,5,1.6,60.63,3
Dominik Greif + Hans Hateboer + Tyler Morton,3,5,1.6,60.63,3
Hans Hateboer + Martin Satriano + Mathys De Carvalho,3,5,1.6,60.63,3
Hans Hateboer + Martin Satriano + Moussa Niakhate,3,5,1.6,60.63,3
Hans Hateboer + Martin Satriano + Pavel Šulc,3,5,1.6,60.63,3
Hans Hateboer + Martin Satriano + Tyler Morton,3,5,1.6,60.63,3
Hans Hateboer + Mathys De Carvalho + Moussa Niakhate,3,5,1.6,60.63,3
Hans Hateboer + Mathys De Carvalho + Pavel Šulc,3,5,1.6,60.63,3
